HVH_013_0019_0001	作用以神，姑自天下共見聞者言之，大綱也。
HVH_013_0019_0002	小民而或形提振即除，赦蠲租頻頒普恩，尊居遠聲，下击不雨，沴眷而以霽禁暴帝王之武興方也，冥頑而自外生戒即出師焦𠞰大奮天威，金魚林獸之渠無不戢，秋霜之教仰仰。
HVH_013_0019_0003	皇上仁育美征隨辰而登蕆其大綱即書之所謂剛克柔克治人之道至矣。
HVH_013_0019_0004	尤嚴矣，尤優澤普洽以改之始而仁美每不而在，甚至善政新恩之敷布，益有以神威愛之机，即不但南畿北轄被澤者愈深，歌感之情，而甌脫緬甸開風者，航海探山，自不禁水珍之芳，来周王一分之統，而仁美粵不至其周，宏綱寔用之熏施，盖有心極惨舒之效，即不忻南掌高蛮依谷者，愈切貽懐之望，而暹羅西洋畏威者，寒心丧膽，伺頓消狠子之心。
HVH_013_0019_0005	又就三代以後仁美之師不率，而帝王之統，純不脞，高祖而有武師已先正大綱於此美未始、始未純中而施，庶幾乎王者，亦足以扶持培塿、根深，所及而人愈知苟美之為高，重贅不能使之背，漢回首餘年已久，亦患於謀乱之兵，仁美之途以塞而生民之愁苦日甚，大尊而祭慕已先絶，分澤於紀綱眇然之後，未純而能澠澠乎先王亦足以爲羈維持之具，思所續，即人愈知法律之分，畏安史不能使之忘，慶哉
