HVH_029_0029_0001	周將軍示。
HVH_029_0029_0002	今司神已駕玉輦三聖與本社大王方跪於金臺之外萬靈紛錯衣服紛飛於斤天之路至亥初趙將軍降報生等凛之我斤班侍衛亥時趙將軍示。
HVH_029_0029_0003	憂哉憂哉三皇車駕已排於通明宮外諸神以億萬計立於南門皆股慄今聖命予降傳生等至于初龍車降壇有聲動如春雷始發靜驗不得諠謹若亥未允諸執事何司何事必要清妥不得遲重古今傳錄享集 二十九今吾臨壇傳生等數語勿忽至亥未王將軍降凛之我斤班侍衛 奉馭此時有声忌自此方圧動三方旋至法前卽止仝時王將軍詩。
HVH_029_0029_0004	月斜星度片雲輕乘月披雲赴梵庭雪擁山頭龍袞色風飄樹葉鳳車聲說罷三章殘魄醒傳清百事夢魂驚越三餘刻龍車就月轉星旋夜幾更廻文格示。
HVH_029_0029_0005	玉皇車駕已離通明宮一里矣三刻後生等點燈衣服齊整何司何事一一清妥子初龍車降矣我回
