HVH_011_0011_0001	凍疸凶猥拯霾涌芎湯飲飽入滌醫
HVH_011_0011_0002	迷心敗血如邪脂時譫凭鬼麻呐囈
HVH_011_0011_0003	排朔徑意年笓芭連朱旺即時安
HVH_011_0011_0004	扢頭痓瘲旁惶昏瞀自汗多湯參芪
HVH_011_0011_0005	血虛發熱憒嗽小柴胡四物參芩麥冬
HVH_011_0011_0006	固真湯泄瀉不止或熱而渴急用葛根
HVH_011_0011_0007	小建中湯治腹痛裏急泄瀉者加木通
HVH_011_0011_0008	胃苓湯治痢疾夾熱腹痛者意調中湯
HVH_011_0011_0009	下痢赤白堆塘裏急後重胞常汸陰
HVH_011_0011_0010	黃連湯意諸揀助產後微痢古今法傳
HVH_011_0011_0011	產後走注弋冒身痛直強趟痛臻譫
HVH_011_0011_0012	霍亂筋轉痓遣涕渴勞煩用五苓方
HVH_011_0011_0013	固症嘔逆須悉絆喫拯特息衝脆眷
HVH_011_0011_0014	真𦵏吟屘中寒乡方四逆共凡理中
HVH_011_0011_0015	夕排抵𧽽甚哈赤苓牛夏
