HVH_010_0029_000001	言"戊辰月，王孙隆太傅。
HVH_010_0029_000002	晋國公開翊國府，與公為之輔佐，代傅勤劳，赐進朝。
HVH_010_0029_000003	隆工科都给事中，赐爵八王。
HVH_010_0029_000004	2。
HVH_010_0029_000005	9年之間，脊寵日隆，喟然日"功名有天命，人何與焉！
HVH_010_0029_000006	吾惟知奉教公子，报先公知已之恩。
HVH_010_0029_000007	今豈知師傅之重有歸。
HVH_010_0029_000008	壬申，夏，公樱病，王上為之修文祈天请祷，病轉廖，復作自悟短修有命遗嘱謂"吾書生為王者，師子已在朝，尚復何愿！
HVH_010_0029_000009	吾可安心瞑目。
HVH_010_0029_000010	正和十二年壬申五月初六日，公爵，終，年五十九矣。
HVH_010_0029_000011	計王上深為之悼惜，輟聽政三日，命官護理丧事。
