HVH_002_0028_000001	广嘉林古道正一旁二。
HVH_002_0028_000002	古道真形，最為奇異。
HVH_002_0028_000003	虎水過来，奇珠高時继虎微童运山逆水。
HVH_002_0028_000004	55。
HVH_002_0028_000005	室兒郎大业，富贵平慶高，藏長中短是，裁得具飾名料多。
HVH_002_0028_000006	士童水反他仕中有止二十七。
HVH_002_0028_000007	嘉林亭輪正一二嘉林亭輪世正穴真山垂大室，水聚元辰，眾山會面，萬水漂身。
HVH_002_0028_000008	56。
HVH_002_0028_000009	内安市藏氣，外業朝墳，有内有外，有君有臣，後嫌去，水杞無人，餘中取息。
HVH_002_0028_000010	世出将軍福+。
