HVH_018_0012_0001	於泰壹，神農作連山則首以艮，黃帝作歸藏則首以坤。
HVH_018_0012_0002	佃漁，象取諸離；書契，象取諸夬；夫耒耜，象取諸益；交易，象取諸噬嗑。
HVH_018_0012_0003	以上總始與神鼎，後主東蒙（伏羲：作樂而歌咸池），祀帝而設旋璣，訪道。
HVH_018_0012_0004	而涉恒沙，養民而畫井地。
HVH_018_0012_0005	（六節論天八井辨地，正乾坤分離坎，以上黃帝）具革亂之畧者復禮之銘（顓頊），以上卦名門。
HVH_018_0012_0006	東戶之政，紀農耕，西陵之教，興蠶事，伏羲之後主東蒙，黃帝之孫居北坎。
HVH_018_0012_0007	秋官西北大，冬官北天，神農命其官安處西土，悃處北土，黃帝封其子（帝嚳，祀上帝，兆己設南，黃帝封姬姓裔遂居北，以上總葛天居）。
HVH_018_0012_0008	東赫胥居西南，昆吾居西，栗陸居北（伏羲），奢比辨乎東，庸光辨乎南，大龍岡。
HVH_018_0012_0009	封辨乎西，后土辨乎北，擒蚩尤而破霧車，可指南，滅四帝以正營軍，皆逐北（以上黃帝），南正曰重，司天，北正曰黎，司地（顓頊），以上方位門。
HVH_018_0012_0010	循蜚之紀首巨靈，因提之池紀首辰放，禪通之紀首倉頡，疏仡之紀首黃帝（葛天師廣壽，伏羲師宛華，神農師悉諸，黃帝師大填，顓頊師亮，父帝嚳師牧德，作易者牙無書用畫，命官者元律作史記言，屬續作於沮誦，來龢作於陰康，宓皇定賦，爰命紀侗，黃帝分疆大建牧伯（以上總明繇政，予隍級畢，疏辨予正色成，傳受乎古諸隕芭錄，予廷嬉（燧人），上相共工，下相柏皇，朱襄蜚竜氏造書契，昊英潛竜氏造甲歷，大庭居竜氏治屋廬，渾沌降竜氏驅民害，陰康土龍氏治。
