HVH_002_0019_000001	先福清水新福清水氣旺脉止。
HVH_002_0019_000002	正一旁于山，八谷平陽，地形頓超，主客相迎，兄弟交喜。
HVH_002_0019_000003	30。
HVH_002_0019_000004	山塑急，人都且贵。
HVH_002_0019_000005	先福菜山新福古業，此是名画。
HVH_002_0019_000006	正一旁三主山垂乳客業頭山支横内水润粘躯。
HVH_002_0019_000007	38）龍虎重豐氣兼妆。
HVH_002_0019_000008	托山僑寓，早擢名魁，内有钢殺，恐破家。
HVH_002_0019_000009	0'。
