HVH_027_0006_0001	逵號福妥府君。
HVH_027_0006_0002	柒月貳拾陸日忌。
HVH_027_0006_0003	先祖妣進功庶郎海陵縣縣丞鄉老上壽朱公正室阮氏號慈宣孺人。
HVH_027_0006_0004	叁月貳拾捌日忌。
HVH_027_0006_0005	合墓在本村五指處。
HVH_027_0006_0006	生下陸男如宗子伯量公支子伯詢公（第伍）惟伯玉晟幹植無傳。
HVH_027_0006_0007	祔祖廟朱三違公四女之壹令女社姑朱氏號貞一。
HVH_027_0006_0008	玖月貳拾玖日忌。
HVH_027_0006_0009	先祖考黎朝校生朱伯量内村別娶於焉別庄地即始基家利永遠。
HVH_027_0006_0010	施于孫子不替引之。
HVH_027_0006_0011	先（世祖考）祖考黎朝校生朱公字伯量號福温府君。
HVH_027_0006_0012	伍月拾叁日忌。
HVH_027_0006_0013	墓在市村桔壘處。
HVH_027_0006_0014	先祖妣黎朝校生朱公正室武氏號慈德孺人。
