HVH_010_0031_000001	牌生考题督文峯侯，字清廉，姚黎夫人，順人蘭金年坊人。
HVH_010_0031_000002	壬申年九月十七日寅-，將官女也。
HVH_010_0031_000003	顺人姿色清麗，有婦德相公园音事引已，語甚然。
HVH_010_0031_000004	相公居官清介儿請。
HVH_010_0031_000005	31託一文不受顺人節儉官俸，所餘徐徐買取私田在芳烈塘槎處十四畝餘。
HVH_010_0031_000006	今子孫猶得籍其餘蔭云。
HVH_010_0031_000007	又買金萃本鄉私湖四高餘，以供東作歲辰之祀。
HVH_010_0031_000008	永遠令范氏玉承厥志，不得违越。
HVH_010_0031_000009	其秉心塞淵可知已。
HVH_010_0031_000010	婦從夫貴+，位號尊榮，男女賢且貴，盛德天報不誣。
HVH_010_0031_000011	生子五男三有用。
HVH_010_0031_000012	熙朝熙雄女二女，端女圆，顺人局。
