HVH_002_0035_000001	..超土正，一旁四超数樂土，氣脉相固。
HVH_002_0035_000002	大江後弯，山前聚重砂，得童叠助抱虎。
HVH_002_0035_000003	69主客相登，无弟相顾。
HVH_002_0035_000004	一正若裁，两傍着厝，科目宜名实相副。
HVH_002_0035_000005	反水穿童官难进步。
HVH_002_0035_000006	三十四。
HVH_002_0035_000007	超频東胡正，一旁三超须東胡，此為名虎欣重畳音水紫，天德栽脉，世地连珠。
HVH_002_0035_000008	玄武山降明堂水超士登科榜，位列公。
HVH_002_0035_000009	20。
HVH_002_0035_000010	乘餘氣，富貴亦優。
HVH_002_0035_000011	勿謂水逼，勿謂砂大地。
