HVH_025_0022_0001	水繫馬金遼店外檐，征鞍若窺青雲眼。
HVH_025_0022_0002	舞樓喉[?]細為腰風中莫更賴吹笛，腸斷鄉々為六朝青苔日光稀到竹籬根，曲徑沿[甃]地不濕。
HVH_025_0022_0003	宿雨幾曾乾，階滴斷煙長自[留]新痕，寒沾屣。
HVH_025_0022_0004	畫去猶活，滑濕透垣衣，綠抛青官宮寒人少出，不曾車馬叩柴门抄陳後主偕張麗華孔貴嬪升車還怍恩室澹將國祚輕，後廷教散石頭城。
HVH_025_0022_0005	及泉猶恨生相見得殉翻憐死未咸，連理願為甘地厚，雙星何化恨天清結悔不携江總升，哀風流宮豔情擬楊太真敎雪衣娘誦多心經鴛鴦翻已悴棋杆，十載連昌宛不輕。
HVH_025_0022_0006	静愛衣裳似舊素乃曾盲欠聰明，蓮花塵近秦曾早，貝葉留傳記步淸月法輪因證果，金粟如香稻篋收抄司馬相如載酒與卓文君解悶尋旅同消客裏悲，寒窗骨痛餘身，老領徹骨憐
