HVH_006_0003_000001	貉何年建前機已知趙武桶帝赵武帝帝有有。
HVH_006_0003_000002	越自立。
HVH_006_0003_000003	王亮祖辰螺城址尚遺馬賊無知，漢祖争稻帝如何逢处刊称臣奉貢倾聽，使民言。
HVH_006_0003_000004	英雄既抱孫，不娶邯郸女世子質漢，漢人，乃谋陶漢明王文王子。
HVH_006_0003_000005	王有子日建，为越妻所出也。
HVH_006_0003_000006	初質於漢医，即耶穆氏女，生子典立創后实忘我。
HVH_006_0003_000007	越誰生歸漢京。
HVH_006_0003_000008	4。
HVH_006_0003_000009	入贸自要齊。
