HVH_002_0034_000001	超類永世福超永世，此為吉地，正一旁。
HVH_002_0034_000002	二。
HVH_002_0034_000003	68）業重童重山止勘止。
HVH_002_0034_000004	砚池含珠，筆端漫，水，衣节若栽。
HVH_002_0034_000005	父子登弟。
HVH_002_0034_000006	超類亭祖正一膏二。
HVH_002_0034_000007	超亭祖亦有风土九曲統童数堆印虎天德後，横运塘前顾。
HVH_002_0034_000008	68）筆架侵雲，視池潑雨，科目早联。
HVH_002_0034_000009	兄弟举首，只恐勘簿不享假。
HVH_002_0034_000010	+。
