HVH_030_0011_0001	成泰叁年玖月初玖日合炤本甲奉守敕文置在
HVH_030_0011_0002	尊祠公凾正本並抄本詳計于后
HVH_030_0011_0003	一敕正本共肆道
HVH_030_0011_0004	景興肆拾肆年柒月弍拾陸日敕贈大王二位貳道
HVH_030_0011_0005	同慶貳年柒月初壹日敕贈大王二位壹道
HVH_030_0011_0006	昭統元年叁月貳拾貳日敕贈公主壹道（由紙脚原有腐爛缺裂）
HVH_030_0011_0007	一敕抄本共柒道
HVH_030_0011_0008	紹治肆年敕贈大王肆道
HVH_030_0011_0009	嗣德叁年敕贈大王貳道
HVH_030_0011_0010	成泰元年敕贈公主壹道
