HVH_031_0041_0001	紫府太微仙君功過格。
HVH_031_0041_0002	功格倫常第一事父母致敬盡養、一日爲一功、此謂尋常日用間、凡竭誠備物以先意旨、故日準一功、善事繼母庶母伯叔父母者倍論、繼母庶母伯叔父母、俗情多忽於此克敦、故倍功、勸親解怒舒憂一事爲十功、憂怒之甚者能解舒之、功極小者一功、勸親改過遷善一事爲十功、能先事諭親於道理、俾若親於倫常有違、能以幾諫感易者爲百功、已於倫常克盡者方能使親無違、遵此所以成親德者大、故百功、功過格枝編太微仙君格三十九身節用、修德、勤學、親賢、遠匪、使親心喜悅者、一日爲一功、即此性行條内所載諸事，然亦莫非孝也，倣守義方之訓，處變而各條詳載，外更於事親條内，日準一功、不違一事爲十功。
HVH_031_0041_0003	親病能竭誠醫禱爲十功、 喪葬盡誠爲十功。
HVH_031_0041_0004	事君竭忠盡力、開陳善道、利益一人爲一功。
HVH_031_0041_0005	務朝夕、竭盡之心，則日準一功、其有關係者另註、遵王制不違犯一事爲一功。
HVH_031_0041_0006	凡事准功、眞實不欺一事爲一功。
HVH_031_0041_0007	兄弟相愛相敬、矢不聽婦僕讒言、以開隙端者一日爲一功。
HVH_031_0041_0008	其日須有愛敬、贊成善事、一事爲之實，方準論功、十功、善待姊妹者同論、善待異母庶母之幼孤弟妹者倍論、
