HVH_010_0018_000001	A九七代代五代，六心坦直曹郡公總兵使成體圖兰下，以代六支。
HVH_010_0018_000002	丙福全。
HVH_010_0018_000003	0。
HVH_010_0018_000004	忠厚公大王激謹知户番鄉贡付。
HVH_010_0018_000005	18。
HVH_010_0018_000006	郡君赠勇熙雄團皓，翰，石通多骨，有梦有增A。
