HVH_010_0064_000001	Q增武伯公房，月二十八日忌，累中三場奉管侍候馬左隊軍正隊長。
HVH_010_0064_000002	壬寅年，以有翊戴軍功，首準隆总兵同知。
HVH_010_0064_000003	兢骑尉。
HVH_010_0064_000004	性不循规矩。
HVH_010_0064_000005	三64蒸芳烈之原男，止官員。
HVH_010_0064_000006	孫男第三配正室鄭氏，性女就。
HVH_010_0064_000007	五月十三日忌，生女二男，一名裴骥，嫁盛烈功臣孫装，姓字绅，無所出。
HVH_010_0064_000008	正月十三日忌。
