HVH_010_0092_000001	胤公房女参女。
HVH_010_0092_000002	92。
HVH_010_0092_000003	長男諱慎，十一代Q男神溪之伯水村，家稍强，富往依焉。
HVH_010_0092_000004	因娶是村人高氏倾生神溪，授馆晏。
HVH_010_0092_000005	因贫，或就贝溪，或就延河依泊。
HVH_010_0092_000006	後因堂姑嫁日先日典日伯盖，先公官先典曾孙，行遷居。
HVH_010_0092_000007	子男三。
HVH_010_0092_000008	嗣德十回年（辛酉，余志亭時，督学典安，唤来命名。
HVH_010_0092_000009	1於此，因名以誌其地云。
HVH_010_0092_000010	。
HVH_010_0092_000011	昌德子公房
