HVH_013_0109_0001	矯拂若為而治者也。
HVH_013_0109_0002	若拂友褻友習俗之偏、沉潜高明氣稟之稟有剛柔之妙、其用則不失之亢、必失之惰、不足以尽夫牽制之權。
HVH_013_0109_0003	陳氏之論信然矣。
HVH_013_0109_0004	尭當大同之世、掌天下以與舜、雖非順則民信其為公者自然无異辞。
HVH_013_0109_0005	庶康當商估之衰、以耿圮而近朕前欲利民而嫩也、方独夫之肆虐、民有来蘇之望、若纣者帰武、可戡而立定厥功、及夫膏之既出、民深思舊之情、忠商者頑、周在三纪而未化、厥以取之云其芳也。
HVH_013_0109_0006	後来楽毅破斉、雖非周仁義之挙、而其殆也、因紂王之无道而有地七十城、可以六月下、其终也、被田単之善守、而莒墨未下、不能以三年平、其事亦類此也、善哉文王何可当也、惟積方百年而先于文者殷之徳、六百年、岐周之沾涓之仁、岂遽浹夫尺土、皆商之天下、百年未始動之雅耳。
HVH_013_0109_0007	若夫、有則易然也、王者不興、興于賢君之六七作、堂々千里、猶岐周之百里、乗勢而以行仁政、事半功倍、惟此辰為然、然孟子此謂、有王犹运掌、岂不哉。
HVH_013_0109_0008	以其勢之易也。
HVH_013_0109_0009	惜乎、斉有安天下之勢、孟子有安天下之道而不飢不寒之政、其不用以、蘇憔悴之民、举安之效、蔑如孟子之言不見用也、自古得天下者、常易、守天下者、常难、高祖起自豊沛
