HVH_002_0051_000001	-東安平正一旁三邑中晋平。
HVH_002_0051_000002	此地為回索山，回水轉主牛江，曲折涟澤。
HVH_002_0051_000003	103。
HVH_002_0051_000004	土文擢料名中心山後方屏武，叨爵就客迎水中圆印O泄氣，恐絕人丁。
HVH_002_0051_000005	東安翁亭正一旁二翁亭之地，氣降金牛山脉若尽，水脉長流回竜顧祖北地為優。
HVH_002_0051_000006	104。
HVH_002_0051_000007	若能辨認，世出公侯，勿向反水，恐出他州。
HVH_002_0051_000008	0'.。
