HVH_019_0037_0001	則小而德益懋 兼弱攻昧推亡固存顯忠遂良佑賢輔德以上葉朱允也天
HVH_019_0037_0002	子降於卿士佑我烈祖格於皇天 伊尹暨乃僚用以匡乃辟歟予命自可代
HVH_019_0037_0003	予言 若藥弗瞑眩若跣弗視地常敬心而汝心惟甲冑起戎惟干戈省
HVH_019_0037_0004	躬恐有善而喪善 學於古訓乃有獲監於成憲永無愆
HVH_019_0037_0005	以輔台德其代予言爰立作相置諸左右惟暨乃僚罔不同心以傳說
HVH_019_0037_0006	以上成語門
