HVH_020_0008_0001	尹來朝二十年伊尹相於商及汝鳩方汝會於阼門二十一年商征有
HVH_020_0008_0002	洛征荊二十二年商侯來朝命囚於夏臺二十三年釋商侯諸侯賓於
HVH_020_0008_0003	商二十六年商滅溫二十八年昆吾伐商會諸侯於亳征韋取之遂
HVH_020_0008_0004	征顧大史令終古奔商三十年征昆吾三十一年商自陑征夏邑克昆
HVH_020_0008_0005	吾桀出奔三朡商征三朡戰於郕獲桀放於焦門放於南巢
HVH_020_0008_0006	龍岡
HVH_020_0008_0007	藏板
