HVH_029_0006_0001	王詔於回善壇指王書爲今古錄天書立就。
HVH_029_0006_0002	書中之金玉成聲。
HVH_029_0006_0003	神筆靈傳。
HVH_029_0006_0004	筆下之雲煙起色。
HVH_029_0006_0005	挽回古道。
HVH_029_0006_0006	啟迪令人。
HVH_029_0006_0007	王律回春。
HVH_029_0006_0008	翼軫之山河復古。
HVH_029_0006_0009	炎風啟運。
HVH_029_0006_0010	鴻龐之世古今傳錄集序 八十六宇宙回今。
HVH_029_0006_0011	猗歟盛哉。
HVH_029_0006_0012	是序。
HVH_029_0006_0013	旨皇南維新元年歲次丁未九月十四日卯時。
HVH_029_0006_0014	國朝太保壯烈伯阮書於李京之回善堂中。
