HVH_024_0001_0001	丙子保大拾壹年闰叁月日安樂社陶玉家奉抄厯金灵縣先賢事跡
HVH_024_0001_0002	舊前南海府並落至灵青林至同慶戊子年始各为弍縣再至成泰元年移于步山縣
HVH_024_0001_0003	竜山邑自此特也
HVH_024_0001_0004	後季 與題國音詩首云
HVH_024_0001_0005	風景至灵夥景台 州院繞踏濤蓮磑 碹檐榜嶺者停陰 会禊懽是順 波𡎝刹包彈𨑮 吞𡎝...
HVH_024_0001_0006	計錄至灵縣先賢貫址
HVH_024_0001_0007	瀧澗社 狀元一人 進士一人 唯溪社 狀元... 輔衛社 進士...
HVH_024_0001_0008	古鞟社 二人 大江社 進士一人 答溪... 萬嵗社 墨庄社 二人 樂山社 金灵...
HVH_024_0001_0009	河柳社 望一人 突嵗社 進士二人 滇池社 進士三人 拋山社 進士一人 并同庄 唯古...
HVH_024_0001_0010	在 進士歷自李陳以来源源乎五百人在郷貢不可尽冩或官不可勝記
HVH_024_0001_0011	至灵八古
HVH_024_0001_0012	狀元古堂 在宁溪社原吴天縣文祠印今年分社移分
HVH_024_0001_0013	樵隱古壁 在僊特社鳳凰殿
HVH_024_0001_0014	藥山古園 在劫泊祠
HVH_024_0001_0015	雁灣古渡 在僊特社号雁渡
HVH_024_0001_0016	上宰古宅 在僊特社國父祠
HVH_024_0001_0017	至灵古城 在抛山屯
HVH_024_0001_0018	雲仙古洞 在僊特寺
HVH_024_0001_0019	星妃古塔 在僊特社墄下山会池溪山
