HVH_031_0085_0001	水利不興荒田不墾使民財不贍國用不足。
HVH_031_0085_0002	過（千）催征無法胥吏欺隱重刑敲撲使民不寧。
HVH_031_0085_0003	過（千）誅降殺順攻城屠戮縱兵虜掠姦淫。
HVH_031_0085_0004	過（無量）不與利除害反以剝民欺君爲事（三代子孫作）功過格校編附訂居家格八十三增錄石音夫醒迷功過格。
HVH_031_0085_0005	宋時一乞兜、二歲失怙恃、不知己姓名、依錢姓、乞丐老養育及老丐卒、乞兜年長欲耕田則無片土、欲貿易則少貲本、爲僧和尚不招、傭工人家不請、學藝無門、進退無路、仍復沿門求食、心常不安、自思曰、天生我一人、爲何使我無一可遂、一日行至太白山下、遇一道長、乞兜伏拜、道長曰、你何爲也、乞兜曰、望道長指我一條生路、道長曰、你還是問生死之生、或長生之生、還問生人之生、或生意之生、或萬物之生呢、乞兜
