HVH_021_0084_0001	干支 吳八建以歌、庚辰之八郢、登山則詬呼、庚癸而乞糧 師次庚宗、戰論申胥。
HVH_021_0084_0002	以上干支門方位濱東海而称雄、八南壤而不克。
HVH_021_0084_0003	以上方位門人品秦伯涕、委仲雍文身。
HVH_021_0084_0004	平注 戰於雞父、君為鴞夷道為二隘、女賂八人 三日伐楚五戰以上人品門數目五千钖可以擊矣、二十年其為沼乎及郢組甲三百、被練三千 取其一履、屨徵及百牢 珠輿二輩、庭肴三以上數目門龍岡國邑 吳采色吴伐楚以報朱衣、魯與吳而會黃池以上采色門器具擊鼓興師、抽劍刺王 楚敗吳於房鍾、公子會吳於橐皋以上噐具門動物𠮛𦨻哩戰誓於烏岸、卒属者子、魚克魯之東陽、宵攻者徹夜、楚伐吳而克鳩茲、吳敗楚而戰鵲岸 闔廬德而恃吳、呂舒、鳩以叛楚 劍置魚腹、矢射衡臺、狗瘛、越以上動物門植物報檮、李之師、竃芝、蘿之女平注 戰於雞父、君為鴞夷以上植物門鉞
