HVH_020_0092_0001	丑文易頃公之位，申蒯死莊公之難。
HVH_020_0092_0002	知伯親擒夫顏，庚、郭最受縛於其丙 國夏、紉、荀、寅、慶、舍、庄、蒲、癸 賈、寅為嬰之黨而出奔壬申，甲寓蓁之黨而見殺 桓子受甲，如鮑氏、盧蒲倓甲攻崔氏閭職以戊戌興，乱高止以乙未出奔。
HVH_020_0092_0003	甲午，陳恒弒其君，己亥，慶氏興其甲 乙卯夜而釁，啟商人矣，甲申晦而刑加國佐矣，己亥，書而禍應慶舍矣 公孫戌止孟甞紱，諫公孫丑問孟子動心以上干支門卦名 敬仲筮仕遇觀之否，崔武卜娶遇困之大過 復嬰，嬰之宅，孟子龍岡 藏板公之禄 敬仲為覊旅之臣，寺人有漏師之責， 辭，奕塋，晏子敢煩夫里旅相太子高，厚不敬於鍾離。
HVH_020_0092_0004	邴師死莊公之難，陳恒執簡公以弒 管氏樹塞門，並為山節之飾，晏子論踊貴，可參讒鼎之銛莒恒為齊之力人，邴師稱齊之勇士。
HVH_020_0092_0005	千里士，比肩而立，百世一聖，隨踵而至 管仲旅樹而反坫，田單解裘以衣寒。
HVH_020_0092_0006	陳恒弒君，代國踵離 助王養民 食井見仲子之操，過顚哉，問王之相 以上卦名門方位 東宮有姝，東郭有媵。
HVH_020_0092_0007	識東閭之枝，愛北郭之饗，獻馬於南郭，且于受邑於北郭，子車、 北郭，啟伐莒，東郭書伐晉
