HVH_010_0096_000001	馳才侯房官员子，娶本村鄭金室之女，生男二葺，本女一氏店官员子，娶北寧威人。
HVH_010_0096_000002	196。
HVH_010_0096_000003	林德子公房女简，生女一。
HVH_010_0096_000004	郡公王，並嫁本村阮姓名國平，生男二俊，女一。
HVH_010_0096_000005	長。
HVH_010_0096_000006	丁卯生。
HVH_010_0096_000007	少读書，性剛介，亦為鄉中冠冕。
HVH_010_0096_000008	娶女四茂透村阮氏，生男一勸男，庚午年生。
HVH_010_0096_000009	读書治舉業，配院氏仁睦社-女四氏轩，生男三。
HVH_010_0096_000010	茹干立，男配陶氏，金英縣生。
HVH_010_0096_000011	男善女峩女線。
