HVH_025_0032_0001	半夜酣眠頃間忽聞従容起立四声恐非當福
HVH_025_0032_0002	蒼生偶居皆不如我穏労中逸履步長征伴舊風
HVH_025_0032_0003	煙村十里水淒草痕青天尽千里足迥風逐
HVH_025_0032_0004	電甚日消停向沙鳴笛陰功覆人成失勢奔
HVH_025_0032_0005	移殿兵示且景反先磨仍如我似彼未滿唐廟死
HVH_025_0032_0006	留名
