HVH_011_0021_0001	有黄筋現者不必論懣直從皆脾胃之病或吐瀉或腹痛不思欲食以及萎足者以助也。
HVH_011_0021_0002	用四君子加陳皮神麴麥芽煎服加淡竹葉有痰加半夏或白芥子天花粉有熱口渴加麥門冬参有寒加乾姜次加猪苓腹痛接加大痛乃食積也加大黄只殼腹痛按之不痛乃寒也加乾姜次身熱不可用此方别立一方。
HVH_011_0021_0003	葛根湯 小兒身熱發不論日夜早晚柴胡白芍白朮當歸白茯苓甘草山査黄芩紫蘇神曲麥門冬腹脹參加麻黄夏加石羔春加青蒿秋加桂便食積加只壳痰加白芥子次加猪苓吐加白豆蔻小兒諸症不违此術不可作驚風治之有驚加人参有疳加蒲黄茯苓〇一治小兒初生臍風噤口夜啼胎驚内釣肚腹堅硬目竄上視手足搐掣角弓反張痰涎壅盛一切急驚及慢驚尚有瀉症者服 安神化痰先服惺々散各前次人参羌活服次服保命丹十三味〇保命丹 全蝎面炙 防風南星蟬蛻羌蚕天麻琥珀惶白附硃砂檀射香五分 胃熱加牛黄片脳合味各末服
