HVH_014_0002_0001	我少年愛國之國民耶答我數千年祖國之恩於萬一
HVH_014_0002_0002	耳區區之誠我少年國民察焉是為序
HVH_014_0002_0003	蒙歷史教科書 原序 二
HVH_014_0002_0004	跋
HVH_014_0002_0005	國無大小有國則有史史也者全國土地人民朝代政
HVH_014_0002_0006	教之攝影片也歐美日本諸文明國史學尚焉萬國史
HVH_014_0002_0007	則專門之科而本國史則普通之課也人生七歲初入
HVH_014_0002_0008	蒙塾即令習國文誦國史婦女亦然蓋所以印國家二
HVH_014_0002_0009	字于各人腦筋之中使牢固而不能移纒糾而不可解
HVH_014_0002_0010	迨夫年已長學已成無不知祖國與身家有密切之關
HVH_014_0002_0011	係以視國地如私產遇國人如同胞合大群聯大團謀
