HVH_009_0072_000001	毛慨古道印行哀淀墙鲁論無遗语，深病于恢。
HVH_009_0072_000002	周公制礼文来書不做，幾度应量甫此时神含汽。
HVH_009_0072_000003	北貼马牛眼悦苦横。
HVH_009_0072_000004	或长少贈仗链。
HVH_009_0072_000005	尚享免去，渾如花。
HVH_009_0072_000006	卓争春道。
HVH_009_0072_000007	太德之老，乾坤河量山永海之朋。
HVH_009_0072_000008	古常晋重思往事，无方聊寓片言。
HVH_009_0072_000009	百碑対证地亲秀缠巍秋庙，人心好善玩长留。
HVH_009_0072_000010	#下碑
