HVH_006_0005_000001	'萬春初建岑1附木日运来。
HVH_006_0005_000002	7'位P正龍编入居竜编加成夜澤師。
HVH_006_0005_000003	05。
HVH_006_0005_000004	桃郎输结知李後丙三枝後李佛子娘易意瓜胃饼越满遗。
HVH_006_0005_000005	刘若来侵。
HVH_006_0005_000006	佛子稀和南帝兄州居鳥鳶社。
HVH_006_0005_000007	写子雅即求婚。
HVH_006_0005_000008	王女果鸽音一半。
HVH_006_0005_000009	烏鳶地天宝。
HVH_006_0005_000010	共将族。
HVH_006_0005_000011	佛子避居哀牢。
HVH_006_0005_000012	相江源。
HVH_006_0005_000013	因遣小号部王发卒。
HVH_006_0005_000014	佛子龍编復墙基。
HVH_006_0005_000015	緣能取趙·創卒，遽降山死州。
HVH_006_0005_000016	黑帝唐遣場县光计之，退保兰州。
HVH_006_0005_000017	黑帝旗。
HVH_006_0005_000018	唐林成功，宁可必。
HVH_006_0005_000019	馮興马大王唐林人。
HVH_006_0005_000020	馮兴有力。
HVH_006_0005_000021	牛将虎起兵。
HVH_006_0005_000022	囤正平入居府治，贵号都居。
HVH_006_0005_000023	及卒，子安尊為見義所當為有力。
HVH_006_0005_000024	和牛虎。
HVH_006_0005_000025	福布盖大王唐林出人大布盖府治號都郡。
HVH_006_0005_000026	夜鱼蜀王辰人。
HVH_006_0005_000027	入仕秦为司赫校尉。
HVH_006_0005_000028	唐都護赵昌.4。
HVH_006_0005_000029	'。
