HVH_031_0127_0001	新訂卜功過籤法玉山祠乩訓。
HVH_031_0127_0002	成泰十年戊戌九月日、奉會善友捐修祠内經藏十件工竣禱謝、蒙降乩、訓行功過一則、緣起也、謹誌之來者、是年十月二十七夜奉孚佑帝君呂祖師降。
HVH_031_0127_0003	隲一登無上宮。
HVH_031_0127_0004	只在此心中。
HVH_031_0127_0005	勸爾擡頭望。
HVH_031_0127_0006	東窓日正紅。
HVH_031_0127_0007	功過格校編 新訂卜籤法 百二十五詩君等有何緣。
HVH_031_0127_0008	我爲之纒綿。
HVH_031_0127_0009	須從心上反。
HVH_031_0127_0010	人中幾見天。
HVH_031_0127_0011	三復斯言者。
HVH_031_0127_0012	善室好相連。
HVH_031_0127_0013	倘爾不能然。
HVH_031_0127_0014	恐負吾真詮。
HVH_031_0127_0015	賜集善堂譜引。
HVH_031_0127_0016	取善於人則善無窮。
HVH_031_0127_0017	執其善於己則善有限。
HVH_031_0127_0018	集善堂之名以此耳。
HVH_031_0127_0019	吾今付生等。
HVH_031_0127_0020	以此名譜。
HVH_031_0127_0021	要當結為善友。
HVH_031_0127_0022	始終不變。
HVH_031_0127_0023	以堅善念。
HVH_031_0127_0024	以成善果。
HVH_031_0127_0025	他日我於蓬萊宮。
HVH_031_0127_0026	一見諸生。
HVH_031_0127_0027	談塵外事。
HVH_031_0127_0028	呵呵呵呵。
HVH_031_0127_0029	其譜則如左。
HVH_031_0127_0030	行善人等。
HVH_031_0127_0031	宜内自家庭。
HVH_031_0127_0032	及於族黨。
HVH_031_0127_0033	不可失其順惟之序。
HVH_031_0127_0034	先於
