HVH_029_0040_0001	示。
HVH_029_0040_0002	前夕予扈龍駕到壇、畧知汝壇一點心也。
HVH_029_0040_0003	今復奉吾夫子命來壇、一以慰蘇王叩懇之心、一以固生等敬誠之念。
HVH_029_0040_0004	謹援筆演四維錄。
HVH_029_0040_0005	彔。
HVH_029_0040_0006	天之四時、春夏秋冬、地之四氣、高低燥濕、人居其中、豈無參天兩地之至德乎、夫亦原天地所賦之性也。
HVH_029_0040_0007	曰禮曰義曰廉曰恥、謂之四氣、而非四氣、謂之四時、而非四時、蓋合天時地氣而成者、謂之四維也。
HVH_029_0040_0008	何也、君臣有禮、可維國本、於無窮、父子有禮、可維家庭古今傳錄亨集 十四於永久、夫婦有禮、可維萬世之彞倫、兄弟有禮、可維一家之基緒、以至義與廉恥、莫不皆然。
HVH_029_0040_0009	有此四維、即有此大倫、有此大倫、卽可以立身於天地之間、而何至四氣乖於地、四時失於天、則以四維之墜於人也、吾今承夫子命來、豈無一辭以答吾夫子眷恋諸生之至意乎、吾願世人、欲起亂心、則以禮義為干櫓、欲生貪念、則以廉恥為金錢、夫如是、則上可以順天之四時、下可以和地之四氣、四方風動、四表化行、豈不
