HVH_026_0043_0001	四十參輒爲君 晉大夫送蒯聵入衛 輒拒而不納。
HVH_026_0043_0002	定公十四年左傳 衛夫人南子召宋朝于洮 太子蒯聵過宋野野人歌之曰 既定爾婁豬 盍歸吾艾豭 太子羞之 欲殺夫人 謀泄而走 太子奔宋蔓姑 齊大夫 衍鞮 音貝 將軍冠 音貫以冠 加首曰冠 騁 傳音 駢 昌邑王 在位二十七日造 惡千餘條忠順不失 出孝經 孟子曰 出盡心 篇上公孫丑引伊尹放太甲之事而問賢者之爲人臣者其君不賢則放可致歟 孟子答之方與 音房預 逕山曰房 迓水曰與 與縣名 戾園 宣帝追謚衛太子 曰戾 置園邑莵茲 在西漢讀 立意在東 漢讀為屈 沮景声 唐時又從 宣帝 寵利 伊尹臣無以寵利成厥功 出書太甲篇 止足 見原流老子曰知足不辱 知止不殆 出老子書 朝聞道 出里仁篇 鈞鉅 鈞鉅者設欲知馬價 必先詢及問羊 然後及馬 參至其價以類相準 則知馬之貴賤 價不失矣 此知囊。
HVH_026_0043_0003	是則鈞鉅乃無形之物作史者釋以吞之則順 吐之則逆 恐失其義 世卿 隱公三年尹氏卒 公羊傳尹氏天子之大夫也 其稱尹氏何 譏世卿 非禮也三世爲大夫 僖公二十五年宋殺大夫公羊傳何以不名 宋三世無大夫 三世為娶也 宋之君為娶大夫女者也 言無大夫者禮 不得妻之父母 國內皆臣無娶女道 宋以為娶故公族以弱 犯境益強 卒生篡弑 君子惡之此則春秋惡宋三世無大夫非惡宋三世爲大夫聽事 哨 音青中 庭曰哨事 言哨事察訟于此 詩之風雅 正風止於周南召南而變風十三國正小雅止於二南而變雅至於五十八篇以 喻猶避火而能避者多。
HVH_026_0043_0004	又云方時之未敎化淫僻而後汝墳殷雷之婦得以顯貞一之節若成康之時則此詩不作矣 幽厲之時 說 說詳行而後仍引言巷伯之 忠臣得以彰忠直之名若文武之時則此詩不作矣 致仕
