HVH_031_0006_0001	陳朝興道大王。
HVH_031_0006_0002	奉關聖帝君命增著一款。
HVH_031_0006_0003	凡例之下。
HVH_031_0006_0004	一是編功過要宜著寔而行。
HVH_031_0006_0005	經遵卜人自有奏記非是奉行故事。
HVH_031_0006_0006	方得效應。
HVH_031_0006_0007	學道之士宜遵行焉。
HVH_031_0006_0008	功過格校編增著凡例四成泰十四年歲壬寅菊月十九夜降著。
HVH_031_0006_0009	譜生等奉錄。
