HVH_026_0003_0001	生也主言陽氣任養於下也癸言萬物可揆度也閼逢 如單于閼氏則音焉。
HVH_026_0003_0002	甲也，言萬物鋒芒欲出，擁遏未達也，以下詳見綱鑑旃蒙 乙也，言萬物過蒙茂柔兆 丙也，言萬物生枝布葉疆圉 丁也，閽音語，音萬物方剛著雍 戊也，著音除，信位在中央，萬物繁養四方屠維 己也，言萬物各成其性上章 庚也，言萬物陽氣上升，萬物畢生也重光 辛也，言萬物成就其燕煌玄黓 壬也，黓音忒，言歲終已，任萬物昭陽 癸也，言陽氣萬物全生困敦 音頓，渾敦也，子也，言萬物初萌混沌於黃泉之下赤奮若 丑也，言氣運奮飛而起，萬物無不若其性也攝提格 寅也，言萬物事陽氣而生也，格者起也單閼 延反音蟬，音越，單盡，閼止也，卯也，言陽氣推萬物而起也執徐 辰也，言伏蟄之物皆敷舒而出，執蟄也，徐舒也大荒落 巳也，言萬物皆熾盛而大出，霍然落之敦牂 音頓，莊午也，言萬物壯盛也協洽 未也，言陰陽化生，萬物和洽也涒灘 涒音貪，灘申也，言萬物吐秀，傾垂之貌作噩 酉也，言萬物皆鋒芒枝起之貌，噩音樂閹茂 蔽也，戌也，言也，成也，言萬物皆蔽骨也大淵獻 亥也，言萬物言於天，深於蓋藏也奔 烏變八真韻，不可分為二字非天子不議禮 親戚貴賤，相接之體度也 品制也文書 字，子思之言，出中庸二十八章通鑑大書 陳仁錫所作，又劉仁恕作，不知孰是。
HVH_026_0003_0003	必微通鑑書，歷代之帝王，乃於天皇辰書其事於外毋輕民事，惟艱毋安厥位，惟危 惟思也，出商書太甲篇見賢思齊 齊配，言見紀焉 人之賢而思己以配於人，出論語里仁篇大註地皇氏 爰定三辰 爰，所也，因也。
HVH_026_0003_0004	三辰，日月星。
HVH_026_0003_0005	無星處曰辰，猶有石之地曰山，無石曰土
