HVH_007_0011_000001	教，准许，奉了明命。
HVH_007_0011_000002	或拾壹年，值我教揚威禦侮，保障白马佑止。
HVH_007_0011_000003	上寺神護国初民稔美灵行学须绘聖祖仁皇帝五旬大慶節，欽奉宝诏，覃恩礼隆登秩辉。
HVH_007_0011_000004	今石膏耿命，缅会神床可加贱揭成禦侮，保障健顺上等神，仍准许昌縣鼓嘉坊上村依奉事神其相佑，保我民领乱纪济。
HVH_007_0011_000005	肆年五月拾贰日，购救华许，奉予明命。
HVH_007_0011_000006	或拾星年，值我敕妙化協灵助顺靈印。
HVH_007_0011_000007	上等神護国庇民，稔着灵衣節学，预绘宝记，单恩礼隆登秩肆。
HVH_007_0011_000008	今齊聖祖仁皇帝五包大慶印，钦奉縣坊土村依舊举事，神其相佑，保我养民。
HVH_007_0011_000009	欲哉联命缅会神麻可加照。
HVH_007_0011_000010	妙化协灵助顺佑正上等神仍华许昌绍洛肆年五月拾式日。
