HVH_010_0069_000001	接，可傳有在，雖語家剩編摩，每惜兄登科，歲亦丁講幢近宸脊篤戎場，何事瘴魔。
HVH_010_0069_000002	然第一名状頭應举未虚，生郡公有後大同謂黄甲灌忠侯公房。
HVH_010_0069_000003	69十一謚福誠配卞氏，號纯美，超類縣亞旅人，生子女二：照顺，男五仕，植居枝榜，長大皆有容佳，俱天由德。
HVH_010_0069_000004	月二十八日，子牌生，率单武伯，寿六没，其善云，行之未修，欺其查集各名，婚嫁稍有功，於譜，亦弗男。
HVH_010_0069_000005	第二操享，配少尹官之次女。
HVH_010_0069_000006	丁丑年三月十九日寅刻，生。
HVH_010_0069_000007	弁生，癸未年，生。
HVH_010_0069_000008	癸卯科中弁，生男女充姓名韶，生男一杨烜，女三瞻恬凭，戊寅年生，嫁清化宋山人造士管前锐队侯爵杨嫁生徒，生一女，女潤，弘信大夫張姓，女富再通該奇，生二男，辛卯年生，有姿色，嫁西都督汉成侯，生男贵。
