HVH_020_0038_0001	公殺王子伯服執襃姒以爲　申侯魯侯許侯鄭子立宜臼於申
HVH_020_0038_0002	虢公翰立王子余臣於携　平王元年東徙洛邑錫文侯命
HVH_020_0038_0003	晉侯會衛侯鄭伯秦伯以師從王入於成周　二十一年晉文侯殺
HVH_020_0038_0004	王子余臣於携
HVH_020_0038_0005	麓岡
HVH_020_0038_0006	藏板
