HVH_010_0046_000001	麻室生女娥女圈女壬女就男。
HVH_010_0046_000002	弟四通，弘信大夫。
HVH_010_0046_000003	軍功出身，誥授馳威將軍。
HVH_010_0046_000004	馬右隊副队。
HVH_010_0046_000005	通武伯，字樂道，公，曹郡公之弟。
HVH_010_0046_000006	四男配鄧氏，程郡公之女。
HVH_010_0046_000007	46男，軍總兵同知。
HVH_010_0046_000008	赠都總兵使。
HVH_010_0046_000009	石嶺侯。
HVH_010_0046_000010	不檢有材，武豪放，配鄧氏，生男例：男冕男，弟六，諱翰一，傳止弘信大夫，授驰威将軍。
HVH_010_0046_000011	左隊正队長。
HVH_010_0046_000012	僉總知。
HVH_010_0046_000013	翰武伯，字法，九月十八日忌公，曹郡公之弟六男也。
HVH_010_0046_000014	床室號慈行。
HVH_010_0046_000015	生男詠男，卿男。
