HVH_024_0016_0001	許高堆以祀敬章殿前大江北岸置一堆位百官往道就望焉今其父老令人称有凌殿
HVH_024_0016_0002	北邦堆疑其二辺北大法 供諸學堂 一在朱舍梅林寺 在二鄉中車雁社堆均草 遺跡其在鄉内有公廟世々因之但亦称惠感
HVH_024_0016_0003	美應大王妃称两国意正公主封号三庙鄉人奉事始於何時皆不可考至今永如
HVH_024_0016_0004	福神元人批評之語於是可邪又傳公在京師特第宅在京城之東南逼近大江号翁
HVH_024_0016_0005	翰處是也後人論曰 夫以越國開科大科世有而林参両國状元惟公也歴朝名士難以枚擧而 今之常人孺子皆知其名者亦惟公一人也語兮之事業者赫々若前日
HVH_024_0016_0006	李謫公之名尊章者凛々猶有生氣然則才行如彼科名如此德行若彼後亦如此故所謂曠世
HVH_024_0016_0007	独哉惜夫文章分槖不克尽傳故愚後生見聞寡陋或得家庭之昔語或得於俗世之傳言考以群書
HVH_024_0016_0008	述其大畧庶幾存什一於千百耳參公事業可信不當以子孫之言泝於其真故願其事還及後世
HVH_024_0016_0009	文事以見願觀者諒焉
HVH_024_0016_0010	案参考得藤之世傳状元於甲申年六月初八日甲辰生不知是否又傳語載公随亡婢引覎冥事頗
