HVH_010_0058_000001	配枚宦嫁後尚少其夫，业為此徑途孺人一節，始其諡日節也，宜哉！
HVH_010_0058_000002	終此，其善之不可掩者。
HVH_010_0058_000003	C官员孫女允阮姓，生二男，嫁北寧威弩官员孫。
HVH_010_0058_000004	59。
HVH_010_0058_000005	忠壽伯公房郡公孫行。
HVH_010_0058_000006	内锐公傅，字福賢，謚武定公，忠壽伯公之長子。
HVH_010_0058_000007	癸亥年生，资警敏，少学文黎景興住2理恭輯，奉差平南。
HVH_010_0058_000008	甲辰年，以軍功隆，管右坚隊留守布政處之。
HVH_010_0058_000009	甲午，年三十五，從岳翁左将太保。
HVH_010_0058_000010	渭派侯枚相公春伯，亥，年八月十九日终，享年四十九。
HVH_010_0058_000011	华芳烈之半月。
HVH_010_0058_000012	右锐二隊西山亂作，公进，居母鄉之保禄縣光顕村寓焉。
HVH_010_0058_000013	辛，配枚氏，諱書，諡善直。
HVH_010_0058_000014	漸妾生男一，後未詳。
HVH_010_0058_000015	癸酉年生，壽八十四。
HVH_010_0058_000016	生子：男持男重，女方女。
