HVH_006_0011_000001	SNON，受天帝賜以仙重，遂生帝。
HVH_006_0011_000002	天赞日表，聽慧过人。
HVH_006_0011_000003	自嘉王入，继大统，天帝锡仙童，史医司筆，敢比漢唐雄，皇家誕聖聰，独王也。
HVH_006_0011_000004	帝斌威而自立，辰明便满，希曾来见王好谣M。
HVH_006_0011_000005	天意如何者。
HVH_006_0011_000006	黎朝三百载，卜运長猪，王意，鬼王，莫師弄行。
HVH_006_0011_000007	2。
HVH_006_0011_000008	永行则竜舟列覺，昭宗之後，篡莫登。
HVH_006_0011_000009	宜陽人威日盛，前行则风伞金。
