HVH_024_0059_0001	青林社金安任社給事中 陳袤
HVH_024_0059_0002	陽春丙戌科取十七名
HVH_024_0059_0003	墨棣社太常寺卿 陶麟角
HVH_024_0059_0004	興治巳丑科取十七名
HVH_024_0059_0005	曼内社庭元翰林校尉 范伊璠
HVH_024_0059_0006	羅川社監察御史智川子 范曰俊
HVH_024_0059_0007	洪寧壬辰科取十七名 奠此科止
HVH_024_0059_0008	樂業社憲察使 黎攀龍
HVH_024_0059_0009	敬尊弘定壬寅科取十名
HVH_024_0059_0010	襄陽社兵科都給事中鄧川子 阮自疆
HVH_024_0059_0011	弘定庚戌科取七名
HVH_024_0059_0012	仁里社翰林院校尉 范珏
HVH_024_0059_0013	安住社憲察使 阮文森
HVH_024_0059_0014	弘定癸丑科取七名
HVH_024_0059_0015	文会社參政 阮琦
