HVH_019_0014_0001	言，麗之開即命之所以卑，俊之籲即帝之所以尊。
HVH_019_0014_0002	賴皇考之保明載歌休矣。
HVH_019_0014_0003	念上天之陟降，兩曰敬之， 矢音傳殿，陛且稽首而揚天子之休，愷樂徧明庭，廷咸醉飽而進，昇平之頌， 豈其博休，嘉於訪落漫翼，有声豈其誇，耽樂於眷阿，頓忘無逸。
HVH_019_0014_0004	念於祖聿修，厥德則配命之永，言有自監於殷無過，亦躬則義，問之宣昭有由法，王顯於文，廸我前人不焜，文孫之號，效重光於武，假我皇考，無慚孝子之綏， 遺大投艱起而嗣，無疆之服，覲光揚烈，敬以守大訓之遺 召誥陳書，歷年永命無逸，作所享國永年，雖，㗭，民協服也，萋，蓁，臣盡力也， 侵邁跡於蓁，邦以蕃王室，君孝恭於東土，允升大猷， 以上雜組門小毖，矢謹微之志，訪落，開慎始之圖， 鳧鷖，見守成之道，卷阿見涖治之原， 紹庭，則曰未有艾，基命，則曰不敢康，敬之，則曰予其懲，敬天，則曰予不聰， 大明，紀世德之求，公禋，殷適，見嗣位之艱也文王，序受命之本，必昧，商孫，見撫衆，匪易也， 訪落，謹始也，所以憂帝小毖，謹後也，所以憂度， 忌商，尊作戌，開，述武志，作，洛，會羣臣，作，皇門，贊己言，作大咸，正三統，作周月，辨氣候，作時訓，制賦政，作月令，制諡，義，作諡法，朝諸侯，作明堂，諮群臣，作嘗麥，告五則，作本典陳六徵，作官人，八方來獻，作王會， 嘉樂，美成王也，洞酌，戒成王也
