HVH_020_0066_0001	曾經三戰戰於只三北 (三年可使足民) 一人門於句黽一人門於戾卯。
HVH_020_0066_0002	兩聘於周再會於晉 獻子誇關臣之五人憂執政之三十 (獻子問四隣於)聖死二子於門 獻子泰山之張孰救以一言顓臾之伐盟止於二子 (季子)以上數目門叔青如宋又至弒子赤殺適以立庶 司啟司閉郊子則鳥辨冊書青為災為祥梓慎則禨占赤黑 武子宴范宣則賦彤弓穆姜見文子則賦綠衣監牛則黑而上僂穆子之夢也堪憑子强則白而多鬚平子之問也毋免黃裳筮而嗣也無功朱儒歌而絃也貽誚 公子還如黃而復郝庶其以漆來奔 闔邱而駟赤周呼如越而叔青始往 以上采色門麓閽 武子睦晉無忘角弓昭子享宋為賦車轄 文子忠無藏金玉汪錡幼能執干 藏板戈 孟之側抽矢策馬司鐸射侯錦奉壺 文仲子作虛噐穆叔賜大略。
HVH_020_0066_0003	衛則寗子紱以設齊則慶封獻以東 守寳惧遯以之賀聞鍾信暨子之讒 皺盾以夾桓子甲劍以賜邢仇 挽顔高之弓用冉有之矛蒙麗弥之甲 圉人校盖華免登市 子家受璧環之賜聲伯占瓊瑰之夢声子勇鞅斬其馬臧堅義牋伐其傷 仲帯竊拱璧陽虎竊弓玉臧會竊寶龜 桓子請帶而刻哀帟 獻子求貨而請冠 南蒯甲興而乱作侯犯郈叛而謀成 公治辞冕服之賜平子請璠璵之斂。
HVH_020_0066_0004	聲己之哭則惟其堂泉邱之夢則幕其廟 立子則重席新絏賞盗以衣裳劍帶
