HVH_004_0028_000001	+第三回杨元舅斬驕兵阮國師謀清内難且說阮整聞得日透所言，一当驚。
HVH_004_0028_000002	既而矯情鎮定，秘其事不露，但密告其妻云"："而身自起球营镇所告瑶忠侯与驚問整計将安出医日本鎮与顺化接界，富春副将体郡之謀。
HVH_004_0028_000003	這瑶忠侯係是暉琶妹夫，為メ安鎮守。
HVH_004_0028_000004	聞言"大公峒海守，料寿侯背在我先公門意，今与我有同舟之勢，密書告体，令以計殺大将。
HVH_004_0028_000005	而其城料必以洞海應台公本镇相為唇收，用豪目，調習土兵，塞黄梅之路，宿重兵於瓊留為固守計。
HVH_004_0028_000006	至海面防守，某自学之本镇地面，足憑人心。
HVH_004_0028_000007	可将前年超郡得罪於裕祖，亦搞此拒命訖免。
HVH_004_0028_000008	况今事又易於超時，公能為此，是天下之半，朝廷不能制。
HVH_004_0028_000009	且保境安民。
HVH_004_0028_000010	徐觉天下之变，非特目前免祸，将来必有功。
HVH_004_0028_000011	瑶忠徐思日"君計誠善，但自料才力不能為此，請更思其次。
HVH_004_0028_000012	整日除此，唯有去國耳。
HVH_004_0028_000013	瑶忠日去："："
