HVH_010_0004_000001	S生卒不書生於我，死不於我也。
HVH_010_0004_000002	吾譜卒知者亦書耕壽干圣某處，配某氏，生子干女，年月日時，亦記嫁某姓某官生子干女止注書所出男女，止（欧陽譜女亦書止書所出墳墓，乃先人體魄在此。
HVH_010_0004_000003	圖雷之萬代，加见世代平行者，得書而标之以某公房，則某公之子孫得詳-而書之也。
HVH_010_0004_000004	上国之遗，或齊而之楚，地甚遠。
HVH_010_0004_000005	吾族譜法遗居者，止書始遣公，後则止。
HVH_010_0004_000006	盖遷居之後，勢不得支。
HVH_010_0004_000007	八。
HVH_010_0004_000008	乂安之桐門，地差遠，仍缺書富平公之延河。
HVH_010_0004_000009	三陽。
HVH_010_0004_000010	2。
HVH_010_0004_000011	避西之亂。
HVH_010_0004_000012	44。
HVH_010_0004_000013	公之利舍不出一日程，其子孫亦来聚族，仍書譜，必十年一修支，係十年內，男女子媳婚嫁交東作故卿續编，庶免行之。
HVH_010_0004_000014	無族中读書識字者，秉華照例書字别之。
HVH_010_0004_000015	即舊编所载有當辨正者，亦界注其舊。
HVH_010_0004_000016	或某事阙，而令有可徵，别為補遺，附於後。
HVH_010_0004_000017	几事並須有的。
HVH_010_0004_000018	若得之傳言而無他左證，則以相傳下某人編集某公譜，某，其子若孫之辭也。
HVH_010_0004_000019	一。
HVH_010_0004_000020	先書某公生子男某女，某直書名父前子名也。
HVH_010_0004_000021	後書其公卽於大書某公之次行書子某或孫某，先世無儒，真列祖集，欲来世有康，俾來世有愀然如见之想徵也。
HVH_010_0004_000022	祖盖逸矣。
HVH_010_0004_000023	近有聞知手状者，登载諸外祖世系，盖附载於某倒姚風行，舊不著。
HVH_010_0004_000024	今报其有聞知。
HVH_010_0004_000025	者書之大書。
HVH_010_0004_000026	獨理齋头氏譜别録定為外氏列譜。
HVH_010_0004_000027	裴存庵（某福氏之下，或分註烟，或
