HVH_010_0095_000001	A完公房，甲戌年生。
HVH_010_0095_000002	慷慨尚義。
HVH_010_0095_000003	幼家学功，親进士志亭公授业焉。
HVH_010_0095_000004	学益进，尤善属文。
HVH_010_0095_000005	年四十一。
HVH_010_0095_000006	嗣德及長家君自太原携就東作。
HVH_010_0095_000007	次男均，丁丑年生。
HVH_010_0095_000008	95。
HVH_010_0095_000009	造士公房女橋失詳。
HVH_010_0095_000010	女書失詳。
HVH_010_0095_000011	長开生公房，生男二。
HVH_010_0095_000012	新平娶本村参督玄成侯女。
HVH_010_0095_000013	男第二染字有禮，四人生男硕女科娶氏，生男振继娶南人，生女，又娶盛烈。
HVH_010_0095_000014	甲2。
HVH_010_0095_000015	儒生公房，長男諱锦。
