HVH_007_0018_000001	民着灵府向来未有预封，肆，今不承敕。
HVH_007_0018_000002	河内省爵昌縣鼓舞坊上村，奉事保寧夫人之神，国相佑，保我黎民，钦乱耿命，缅会神麻。
HVH_007_0018_000003	著封为拥婉翊保中兴之神，準依舊奉事神具。
HVH_007_0018_000004	成泰元年十一月十八日。
HVH_007_0018_000005	74。
