HVH_027_0017_0001	長男朱伯勔字鼎熒。
HVH_027_0017_0002	生下貳男壹女次男朱仲勔字金鎰。
HVH_027_0017_0003	生下壹男肆女季男朱叔勔字玉樹。
HVH_027_0017_0004	生下壹男肆女先祖考朱文勸公其為人也直而簡温而廉謙恭謹厚敏於事而慎於言公少時俗陸家庭教育有賢父兄素從其學業多得聞於講說間及長承親父命受業於本省督學堂官武先生學習既專而文詞亦博逮至皇朝成泰癸卯拾伍年時公行年拾有捌歲親父命之有室擇配於本村阮貴公之第壹女如小科早占而大業愈勔成泰丙午拾捌年公貳拾壹歲乃從胞兄朱伯勔仝就河南應試經義稍通幸而試中第壹場見其公之為學進益務實學而無虚文丁未年公貳拾貳歲嫡妻初生壹女如命名曰流命嫁於本村朱貴
