HVH_029_0008_0001	古今傳錄亨集九月朔申時關聖帝君詩。
HVH_029_0008_0002	風風雨雨逼重陽，此景令人變轉常。
HVH_029_0008_0003	龍駕來花欲吐，鳳箋箋到月浮光。
HVH_029_0008_0004	東來赤兔年猶短，北往蒼鸞日尚長。
HVH_029_0008_0005	鍾男故都開放步，風呼雨喚震穹蒼。
HVH_029_0008_0006	訓悊母、超山越海、揔雨披雲、上欽玉旨、下降人塵、南征北往、歷幾春秋、東歸西去、歷幾周遊、而心悠悠、而念皇皇、時乘鶴駕、日下鸞章、而心凉凉、而念凄凄、時古今傳錄亨集開霧館、日下雲梯、南北東西、天涯海角、哀怨成章、悲思合曲、窮閶蔀屋、寒谷陰涯、悲思協律、哀怨成詩、我心孜孜、望人回首、書遍寰瀛、義昭令古、我心惴惴、望人回心、書垂宇宙、義說古今、如玉如金、如星如日、古道昭如今、風揭出、如釘如鐵、如珠如璣、令風鏡朗、古道星輝、歛哉訓詞、剖心吐血、告爾世人、切凄凄切詩雲遊、起步遍千方、水秀山靈、會一堂、綸縛帝庭、霜凛凛、玉金神語、日煌煌、紛紛世局、桑還海塵、歷人塵、白變
