HVH_004_0031_000001	欲中傷之，期致之死，偏為国音叙情曲述往程，毫遇暗-，业達于王。
HVH_004_0031_000002	王憐之，乃得不死。
HVH_004_0031_000003	及新王立，復载回班陛，吏部尚書郡公メ之兵，追怨平南，日侃为メ安泰领，兼理粮餉。
HVH_004_0031_000004	然家人摄害，本相与喧详言"日"啊老為人奢侈，前年肆毒我州，我訟不理，今又為國師着留之，使再八相，民何以堪！
HVH_004_0031_000005	吾等当每人一掌以了之。
HVH_004_0031_000006	其中有解之者，復得無事。
HVH_004_0031_000007	杨匡太妃同毋弟，為人庸猥，無庚子密案，王家臣皆得祸，匡獨以愚供福。
HVH_004_0031_000008	玉初立，骤得出身，管中减奇，与太妃居中用事。
HVH_004_0031_000009	諸軍謗日阿旧有何才幹？
HVH_004_0031_000010	只藉裙人之荫，得至于此。
HVH_004_0031_000011	今離困穷，驟欲富貴。
HVH_004_0031_000012	壁言之，积餓之人，遇飯驟食，然見腸胃潰裂而後已。
HVH_004_0031_000013	至是二人同入政府，人不服。
HVH_004_0031_000014	然軍情多狡，彼死而此恩背毁，而面誉莫知端倪。
HVH_004_0031_000015	其權要之家聞太平語，不聞花語。
HVH_004_0031_000016	是以凡事勇往向前，無復却患。
HVH_004_0031_000017	只要意做太平深謀，唯以抑驕兵為一着。
HVH_004_0031_000018	適有四人詐称全隊拥借东河居商钱，為其陈長所族举，並所之，衆皆怒其通刑，而業已获举，遂帖。
HVH_004_0031_000019	二人喜以為威。
HVH_004_0031_000020	推既立日，国自2。
HVH_004_0031_000021	。
HVH_004_0031_000022	'
