work_id,chapter_id,title_han,title_vietnamese,source_volume_id,source_code,source_url,image_count,legacy_folder
HVH_001,HVH_001_01,愛州和正先生錄,Ái Châu Hoà Chính tiên sinh lục,660,NLVNPF-0501,https://lib.nomfoundation.org/collection/1/volume/660/page/1,48,HVH_001
HVH_002,HVH_002_01,安南地搞記,An Nam địa cảo ký,661,NLVNPF-0503,https://lib.nomfoundation.org/collection/1/volume/661/page/1,60,HVH_002
HVH_003,HVH_003_01,安南地理搞,An Nam địa lý cảo,662,NLVNPF-0504,https://lib.nomfoundation.org/collection/1/volume/662/page/1,52,HVH_003
HVH_004,HVH_004_01,安南一統志,An Nam nhất thống chí,664,NLVNPF-0506,https://lib.nomfoundation.org/collection/1/volume/664/page/1,107,HVH_004
HVH_005,HVH_005_01,安南初學史,An Nam sơ học sử,665,NLVNPF-0507,https://lib.nomfoundation.org/collection/1/volume/665/page/1,46,HVH_005
HVH_006,HVH_006_01,幼學國史五言詩,Ấu học quốc sử ngũ ngôn thi,1157,NLVNPF-1031,https://lib.nomfoundation.org/collection/1/volume/1157/page/1,15,HVH_006
HVH_007,HVH_007_01,白馬大王事跡,Bạch Mã đại vương sự tích,1416,NLVNPF-0514,https://lib.nomfoundation.org/collection/1/volume/1416/page/1,19,HVH_007
HVH_008,HVH_008_01,白雲庵居士阮文達譜記,Bạch Vân Am cư sĩ Nguyễn Văn Đạt phả ký,84,NLVNPF-0081,https://lib.nomfoundation.org/collection/1/volume/84/page/1,47,HVH_008
HVH_009,HVH_009_01,白雲庵先生,Bạch Vân am tiên sinh,85,NLVNPF-0082,https://lib.nomfoundation.org/collection/1/volume/85/page/1,75,HVH_009
HVH_010,HVH_010_01,阮族家譜,Nguyễn tộc gia phả,855,NLVNPF-0686,https://lib.nomfoundation.org/collection/1/volume/855/page/1,101,HVH_010
HVH_011,HVH_011_01,保胎神效全書觧音,Bảo thai thần hiệu toàn thư giải âm,680,NLVNPF-0520,https://lib.nomfoundation.org/collection/1/volume/680/page/1,24,HVH_011
