HVH_027_0041_0001	于嘉賓歌聲扇後介遐齡于老耄舞袖衫前匪徒為
HVH_027_0041_0002	祝嘏之文亦以表對時之樂尤願
HVH_027_0041_0003	神功默相闔邑盈寧
HVH_027_0041_0004	文物煥然可觀
HVH_027_0041_0005	人才於斯為盛
HVH_027_0041_0006	共躋康壽之域
HVH_027_0041_0007	咸趨淳厚之鄉
HVH_027_0041_0008	于以凝保定之崇禧
HVH_027_0041_0009	于以享清平之景福
HVH_027_0041_0010	向上目錄共參百拾捌字
HVH_027_0041_0011	第貳
HVH_027_0041_0012	右榜敬書
