HVH_004_0101_000001	建於坐取之，稚将必堅，老将计然莫知其意者。
HVH_004_0101_000002	及文武赴會，相叙畢，碩問在會者日"玉已立逾旬，而朝廷政事未成，安謨環池人頭緒，諸公有所見者，各開展，共择所当行，以請于上。
HVH_004_0101_000003	眾未知所言。
HVH_004_0101_000004	寧逊獨多狡智，欲以双頭探碩意。
HVH_004_0101_000005	日"創业以前，政在皇家中具，後以政王府方開説。
HVH_004_0101_000006	璉詰之日"今是創业前，中興後，敬如有带説，整来省，是其員説得訥已甚急辨日，某上授以中興如此。
HVH_004_0101_000007	尔。
HVH_004_0101_000008	璉日如此，公可草設。
HVH_004_0101_000009	逊設以為帝，王相為一体。
HVH_004_0101_000010	今官各從帝初命，亦须並存首，各请以平章，無参従参知兼陪從食書省事兼添差都船事中，兼六番武掌府署府，並加五单都督府。
HVH_004_0101_000011	左都督）等字。
HVH_004_0101_000012	事堂在府門外，耳目惯習。
HVH_004_0101_000013	凡政事議成，先放于王，而取裁于皇上。
HVH_004_0101_000014	璉者藁见文藏巧意雄，各從帝而實勿見罪，乃使逐奏書成。
HVH_004_0101_000015	璉自以前言晤報颜见，只則帰重於王。
HVH_004_0101_000016	反喜日，人称公老於詞翰，果然僕须失言，幸辞武臣。
HVH_004_0101_000017	諸人皆随璉散使。
HVH_004_0101_000018	硕卤衆官八殿请旨。
HVH_004_0101_000019	上初以碩必顺上意，喜会引見。
HVH_004_0101_000020	及怒，日参陪，便参陪，何必带平。
HVH_004_0101_000021	二
