HVH_010_0026_000001	叠耸樓臺，後枕明山，前臨湖水如镜。
HVH_010_0026_000002	巽之近昇龍，水口，神秀之所鍾起祖自敬天而来，虎，風雲一带拜堂龍两边合拱，隐隐大將結營。
HVH_010_0026_000003	26之狀。
HVH_010_0026_000004	庚龍乾基。
HVH_010_0026_000005	巽向。
HVH_010_0026_000006	所謂地重人傑，不在兹乎！
HVH_010_0026_000007	遂卜築焉。
HVH_010_0026_000008	祠堂此一區宇也。
HVH_010_0026_000009	星移物换，向今更幾人家到。
HVH_010_0026_000010	我便云"我是主人，何須苦累心思。
HVH_010_0026_000011	世間物Y一出宰慈廉清白自持，不避權势，豪東，終待世間人耳。
HVH_010_0026_000012	奉有試諸守令，公詞理第A手，吏民畏愛政行。
HVH_010_0026_000013	统及二年，奉王上訪，及對公才堪大用，僚朋如出一口，特召至公年四十，令充王世子大。
