HVH_029_0026_0001	本社李朝太師蘇忠節王詩。
HVH_029_0026_0002	風聲一陣帳宏開、鶴駕亦爲車送客來、東海水流千萬頃、北山風噀二三回、瓏玲桂色光紅殿、淡暗桃顏、絢紫嵬、重訪舊山、還舊隱、風聲一陣帳宏開、廻文格示前日土神傳旨。
HVH_029_0026_0003	酉戌三聖降、今三聖有事天宮、趙將軍召予、同予不知幾番(從三聖洞)天題名奏表、今蒙奎宮旨準降壇、予不勝股慄之至、今予臨壇、一賜表文、一勉生等宜加心勉力、不可視以爲常、臨時稍古今傳錄亨集二十六有參差則十二雷部、一聲霹靂、一瞬而骨碎魂消、三聖雖傷吾神雖憫、亦無如生等何、凜之勿忽、壇生靜聽、予賜表文、伏以杏壇化雨、李桃七十開花、檜紹春風、梅柳三千絢色惟聖恩之洪大、配乾德以無方、桂宮檢校蒙
