HVH_029_0043_0001	物固當愛、而獨後於仁民、民固當仁、故獨先於愛物。
HVH_029_0043_0002	成湯推解網之仁、故能開王業。
HVH_029_0043_0003	齊宣失易牛之愛、故不能伯齊邦、王伯之所以分也。
HVH_029_0043_0004	吾願世人權其重輕、度其長短、推愛物以仁民、於王乎何有。
HVH_029_0043_0005	我回奎宮去。
HVH_029_0043_0006	十二日卯時值壇土神陳相公示。
HVH_029_0043_0007	我土神也、傳生等、自今以後、壇內壇外、減燈一半、其禮儀減一半、只用香燈花菓美蕃、使生等得周大事、不然、大事難周矣、據每月朔望古今傳錄亨集四十三晦弦禮儀如舊、餘日減、何時有群僊駕臨、則用酒存諸神不用、迎駕侍只奉筆二名、認字二名、主壇靜壇二名、入壇中五拜、餘各免、不然、多人則亂矣、凜之、仝侍值壇杜侍郎示。
HVH_029_0043_0008	我今始安心矣、始樂心矣、日夜馳驅、風霜况瘁、回想重陽之事、不覺愧驚而魄醉、今二天之恩大遍、三聖之念太平、我與陳相公、大覺霑恩無極矣、今吾報生等、必露其意、生等知之、予詠一詩、
