HVH_004_0027_000001	輝郡益加爱重。
HVH_004_0027_000002	暉居安，又镇，以为右参軍。
HVH_004_0027_000003	嘗使調水軍禦海面，水戰無敲，海外呼為水郡，改山南镇，易前中。
HVH_004_0027_000004	陈迎海，既面，改寧奇メ安镇醫祖填在顕朋山地記云"萬竜追千萬虎，称霜称王，無不如志。
HVH_004_0027_000005	因自号鵬嶺客醫，為提举於暉得管後，坚水隊，属山南镇。
HVH_004_0027_000006	至是聞京侯医有邑人阮日送中所举开生，其人力過人，有膳海，以其事語整，倉惶錯慢，不知所為。
HVH_004_0027_000007	正是中有变送超海，而自二十六日開帆，至二十八日抵東水山，日还难倚。
HVH_004_0027_000008	未知理料如何？
HVH_004_0027_000009	且咱下回分解，平地生波亮不鹭。
