HVH_027_0005_0001	生下三袍公先（世祖祖第陸）祖考朱公字三袍號福明諡福度府君。
HVH_027_0005_0002	拾月初肆日忌。
HVH_027_0005_0003	先祖妣朱公正室范氏號慈登孺人。
HVH_027_0005_0004	正月拾柒日忌。
HVH_027_0005_0005	合莖在本村五指處。
HVH_027_0005_0006	生下三碭公宗于三碭公支于三樂三喜三和三館公朱氏先（世祖祖第柒）祖考朱公字三碭號忠信府君。
HVH_027_0005_0007	正月貳拾伍日忌。
HVH_027_0005_0008	先祖妣朱公正室阮氏號慈正孺人。
HVH_027_0005_0009	伍月貳拾壹日忌。
HVH_027_0005_0010	合莖在本村五指處。
HVH_027_0005_0011	生下三達公公心好奇命又好陶沙始見金克廣德心造恒山寺。
HVH_027_0005_0012	先（世祖祖第捌）祖考進功郞海陵縣縣丞鄉老上壽朱公字三
