HVH_020_0089_0001	附春秋世系
HVH_020_0089_0002	僖公九年入春秋在位三十四年 襄公在位十二年
HVH_020_0089_0003	桓公在位四十四年 孝公在位十年 昭公在位二十一年
HVH_020_0089_0004	愨公在位五年 惠公在位十年 頃公在位十八年
HVH_020_0089_0005	靈公在位二十九年 莊公在位七年 景公在位五十八年
HVH_020_0089_0006	悼公在位六年 簡公在位五年 平公在位是為田齊
HVH_020_0089_0007	龍岡 藏板
